id,Date,Measure,Count,Reporting,Missing
2,2020-03-22,Residents.Confirmed,59,48,"Connecticut, Kentucky, Montana, Nebraska, District of Columbia"
3,2020-03-29,Residents.Confirmed,475,49,"Kentucky, Montana, Nebraska, District of Columbia"
4,2020-04-05,Residents.Confirmed,1534,52,District of Columbia
5,2020-04-12,Residents.Confirmed,3547,52,District of Columbia
6,2020-04-19,Residents.Confirmed,11787,52,District of Columbia
7,2020-04-26,Residents.Confirmed,17225,52,District of Columbia
8,2020-05-03,Residents.Confirmed,21981,51,"Rhode Island, District of Columbia"
9,2020-05-10,Residents.Confirmed,26819,52,District of Columbia
10,2020-05-17,Residents.Confirmed,31046,52,District of Columbia
11,2020-05-24,Residents.Confirmed,38368,52,District of Columbia
12,2020-05-31,Residents.Confirmed,43156,52,District of Columbia
13,2020-06-07,Residents.Confirmed,46293,52,District of Columbia
14,2020-06-14,Residents.Confirmed,49015,52,District of Columbia
15,2020-06-21,Residents.Confirmed,52543,52,District of Columbia
16,2020-06-28,Residents.Confirmed,55942,52,District of Columbia
17,2020-07-05,Residents.Confirmed,61096,52,District of Columbia
18,2020-07-12,Residents.Confirmed,70291,51,"New York, District of Columbia"
19,2020-07-19,Residents.Confirmed,77018,52,District of Columbia
20,2020-07-26,Residents.Confirmed,85032,52,District of Columbia
21,2020-08-02,Residents.Confirmed,94499,52,District of Columbia
22,2020-08-09,Residents.Confirmed,103092,51,"Montana, District of Columbia"
23,2020-08-16,Residents.Confirmed,108668,52,District of Columbia
24,2020-08-23,Residents.Confirmed,114731,52,District of Columbia
25,2020-08-30,Residents.Confirmed,122557,52,District of Columbia
26,2020-09-06,Residents.Confirmed,127786,52,District of Columbia
27,2020-09-13,Residents.Confirmed,133442,52,District of Columbia
28,2020-09-20,Residents.Confirmed,140020,52,District of Columbia
29,2020-09-27,Residents.Confirmed,146362,52,District of Columbia
30,2020-10-04,Residents.Confirmed,150133,52,Montana
31,2020-10-11,Residents.Confirmed,154241,53,""
32,2020-10-18,Residents.Confirmed,162933,53,""
33,2020-10-25,Residents.Confirmed,171833,53,""
34,2020-11-01,Residents.Confirmed,179671,53,""
35,2020-11-08,Residents.Confirmed,195748,53,""
36,2020-11-15,Residents.Confirmed,207718,53,""
37,2020-11-22,Residents.Confirmed,221401,53,""
38,2020-11-29,Residents.Confirmed,239444,53,""
39,2020-12-06,Residents.Confirmed,261594,53,""
40,2020-12-13,Residents.Confirmed,293147,53,""
41,2020-12-20,Residents.Confirmed,311675,53,""
42,2020-12-27,Residents.Confirmed,328454,53,""
43,2021-01-03,Residents.Confirmed,346102,53,""
44,2021-01-10,Residents.Confirmed,358374,53,""
45,2021-01-17,Residents.Confirmed,369636,53,""
46,2021-01-24,Residents.Confirmed,378697,53,""
47,2021-01-31,Residents.Confirmed,384377,53,""
48,2021-02-07,Residents.Confirmed,390060,53,""
49,2021-02-14,Residents.Confirmed,392441,53,""
50,2021-02-21,Residents.Confirmed,395346,53,""
51,2021-02-28,Residents.Confirmed,398213,53,""
52,2021-03-07,Residents.Confirmed,398739,53,""
53,2021-03-14,Residents.Confirmed,400348,53,""
54,2021-03-21,Residents.Confirmed,402700,53,""
55,2021-03-28,Residents.Confirmed,402509,53,""
56,2021-04-04,Residents.Confirmed,403510,53,""
57,2021-04-11,Residents.Confirmed,404552,53,""
58,2021-04-18,Residents.Confirmed,405585,53,""
59,2021-04-25,Residents.Confirmed,406552,53,""
60,2021-05-02,Residents.Confirmed,407556,53,""
61,2021-05-09,Residents.Confirmed,408687,53,""
62,2021-05-16,Residents.Confirmed,409636,53,""
